|Catastro|ReferenciaCP|IdCliente|Producto|Fecha|TipoProducto|AltaCliente
228163|003 4802700170UN060B0UN|003 4802700170|483626|N06|2020-05-03|Servicio principal|2020-04-04 00:00:00
256171|013 2007101220UN010A0UN|013 2007101220|6103451|N04|2020-05-03|Servicio principal|2020-01-30 00:00:00
337154|087 0801902526UN06UN004|087 0801902526|6115680|N01|2020-05-03|Servicio principal|2020-02-29 00:00:00
98501|093 4801500231UNPBUN0UN|093 4801500231|41608|N01|2020-05-03|Servicio principal|2020-02-08 00:00:00
51158|016 0105904715UN050C0UN|016 0105904715|6102250|N06|2020-03-03|Servicio principal|2020-01-23 00:00:00
160292|014 4808400061UN090B0UN|014 4808400061|2285679|N06|2020-04-03|Servicio principal|2020-02-26 00:00:00
177100|003 2090200300UN030D0UN|003 2090200300|6119848|N01|2020-05-03|Servicio sin cuota|2020-03-07 00:00:00
301453|030 1711701072UN04UN001|030 1711701072|6098755|N06|2020-02-03|Servicio principal|2020-01-11 00:00:00
143926|009 4808900055E1PBUN00A|009 4808900055|6114491|N01|2020-06-03|Servicio sin cuota|2020-02-22 00:00:00
28181|001 4807800015UN03IZ0UN|001 4807800015|445426|N06|2020-04-03|Servicio principal|2020-01-11 00:00:00
145925|022 4807300016UN050F0UN|022 4807300016|6114749|N01|2020-04-03|Servicio principal|2020-02-26 00:00:00
12129|014 4802005565UNPB0T003|014 4802005565|6039053|N04|2020-04-03|Servicio principal|2020-01-05 00:00:00
149171|196 4802006040UN02UN0UN|196 4802006040|6114127|N01|2020-05-03|Servicio principal|2020-03-07 00:00:00
4802|015 2007902503UN030C0UN|015 2007902503|6095640|N06|2020-06-03|Servicio principal|2020-01-10 00:00:00
311022|015 2004201160UNPBDR0UN|015 2004201160|683443|N04|2020-03-03|Servicio principal|2020-01-10 00:00:00
31295|005 2007501170UN08IZ0UN|005 2007501170|828096|N06|2020-04-03|Servicio principal|2020-01-12 00:00:00
180456|004 3120101038UN040F0UN|004 3120101038|4251622|N01|2020-04-03|Servicio principal|2020-03-13 00:00:00
65072|001 4807800031UN05IZ0UN|001 4807800031|6103955|N06|2020-03-03|Servicio principal|2020-01-26 00:00:00
116878|016 4800300049UN010B0UN|016 4800300049|1796979|N06|2020-06-03|Servicio principal|2020-02-08 00:00:00
149374|001 0105106920UN020A0UN|001 0105106920|6115079|N04|2020-05-03|Servicio principal|2020-02-28 00:00:00
96382|018 2002901116UNPBUN0UN|018 2002901116|6107366|N01|2020-03-03|Servicio sin cuota|2020-02-05 00:00:00
228063|017 0105904849UN03UN00B|017 0105904849|4233630|N06|2020-04-03|Servicio sin cuota|2020-04-01 00:00:00
334460|020 0818000644UN04UN002|020 0818000644|6130179|N06|2020-06-03|Servicio sin cuota|2020-05-10 00:00:00
266915|028 4805400083UNUNUNPOR|028 4805400083|3601935|N06|2020-06-03|Servicio principal|2020-04-30 00:00:00
157119|002 4807400113UN010B0UN|002 4807400113|2469742|N06|2020-03-03|Servicio principal|2020-02-26 00:00:00
41695|009 2001301280UN03DR0UN|009 2001301280|6101073|N01|2020-06-03|Servicio principal|2020-01-22 00:00:00
338351|367 0801902166UN03UN003|367 0801902166|6119350|N01|2020-06-03|Servicio principal|2020-05-14 00:00:00
198953|002 2008101204UN050B0UN|002 2008101204|6060558|N01|2020-06-03|Servicio principal|2020-03-19 00:00:00
209969|008 4806900035UN02DR0UN|008 4806900035|6126991|N01|2020-04-03|Servicio sin cuota|2020-03-27 00:00:00
114790|004 4801302820UN03IZ0UN|004 4801302820|3626474|N01|2020-04-03|Servicio sin cuota|2020-02-09 00:00:00
75415|013 4890200004UN010E0UN|013 4890200004|1469196|N06|2020-05-03|Servicio principal|2020-01-26 00:00:00
331149|042 0818707218UNPBUN0UN|042 0818707218|6105048|N04|2020-02-03|Servicio principal|2020-01-27 00:00:00
179969|015 3112200094UN01UN004|015 3112200094|6010754|N06|2020-04-03|Servicio principal|2020-03-05 00:00:00
119253|004 2006901220UN030C0UN|004 2006901220|6110926|N01|2020-06-03|Servicio principal|2020-02-14 00:00:00
11729|011 2003601811UN030A0UN|011 2003601811|6097748|N06|2020-05-03|Servicio principal|2020-01-09 00:00:00
215534|008 2090200450UNPBUN011|008 2090200450|25376|N06|2020-04-03|Servicio principal|2020-03-24 00:00:00
190122|015 4801300910UN02DR0UN|015 4801300910|966780|N06|2020-06-03|Servicio principal|2020-03-09 00:00:00
53897|006 4805200042UN030A0UN|006 4805200042|6102553|N06|2020-04-03|Servicio sin cuota|2020-01-23 00:00:00
144349|028 4802004440UNPBUN0UN|028 4802004440|79880|N06|2020-05-03|Servicio principal|2020-03-01 00:00:00
135524|068 4802003570UN050E0UN|068 4802003570|6113189|N06|2020-05-03|Servicio principal|2020-02-22 00:00:00
175655|002 4800200058UNPBDR0UN|002 4800200058|4184574|N01|2020-06-03|Servicio principal|2020-03-14 00:00:00
209137|001 0100202135UN030C0UN|001 0100202135|4261082|N06|2020-04-03|Servicio principal|2020-02-13 00:00:00
331150|042 0818707218UNPBUN0UN|042 0818707218|6105048|N04|2020-03-03|Servicio principal|2020-01-27 00:00:00
104130|033 0105904717UN060B0UN|033 0105904717|6104581|N06|2020-04-03|Servicio principal|2020-02-07 00:00:00
4487|013 2004001305UN04DR0UN|013 2004001305|6095404|N01|2020-03-03|Servicio principal|2020-01-12 00:00:00
290868|172 0801901390UN07UN001|172 0801901390|6120628|N06|2020-06-03|Servicio sin cuota|2020-03-08 00:00:00
315652|016 0105902995UN100E0UN|016 0105902995|6113483|N04|2020-04-03|Servicio principal|2020-02-20 00:00:00
330108|044 4801301180UN050B0UN|044 4801301180|6099625|N04|2020-03-03|Servicio principal|2020-01-12 00:00:00
245042|001 4802006070UN050A0UN|001 4802006070|554065|N01|2020-06-03|Servicio principal|2020-04-23 00:00:00
216445|005 2008001330UNPBUN001|005 2008001330|2465231|N06|2020-06-03|Servicio principal|2020-03-24 00:00:00
190905|001 4802005040UN020B0UN|001 4802005040|6122797|N01|2020-05-03|Servicio principal|2020-03-12 00:00:00
278853|002 2610200001EA04UN001|002 2610200001|6136339|N06|2020-06-03|Servicio sin cuota|2020-05-27 00:00:00
211648|006 2001701180UN040B0UN|006 2001701180|1996660|N06|2020-06-03|Servicio principal|2020-03-22 00:00:00
42713|016 2006701212UN02IZ0UN|016 2006701212|784247|N06|2020-03-03|Servicio principal|2020-01-19 00:00:00
35923|004 4802900037UNUNUNPOR|004 4802900037|952325|N01|2020-02-03|Servicio principal|2020-01-16 00:00:00
244227|018 4801100026UN010D0UN|018 4801100026|6119959|N01|2020-06-03|Servicio sin cuota|2020-03-07 00:00:00
58168|001 4809000075UN010B0UN|001 4809000075|6103052|N01|2020-05-03|Servicio sin cuota|2020-01-24 00:00:00
317206|005 2004901150UN010B0UN|020A2004906007|1387347|N06|2020-05-03|Servicio principal|2020-01-17 00:00:00
141128|026 3120101047UN060D0UN|026 3120101047|6113579|N06|2020-03-03|Servicio sin cuota|2020-02-20 00:00:00
285773|030 0103202080UN01UN0UN|030 0103202080|6144529|N06|2020-06-03|Servicio sin cuota|2020-05-22 00:00:00
280540|003 3123200014UN080B002|003 3123200014|6088839|N06|2020-05-03|Servicio sin cuota|2020-03-20 00:00:00
108840|002 2003201330UNPBUN0UN|002 2003201330|6109527|N01|2020-04-03|Servicio sin cuota|2020-02-08 00:00:00
253895|001 2003004305UN030A0UN|001 2003004305|2311281|N06|2020-05-03|Servicio principal|2020-04-24 00:00:00
12419|004 2001001181UN040C0UN|004 2001001181|6069895|N04|2020-04-03|Servicio principal|2020-01-12 00:00:00
214698|001 0105904563UNUNUNPOR|001 0105904563|56145|N06|2020-04-03|Servicio principal|2020-03-24 00:00:00
63441|006 2006402770UN020A0UN|006 2006402770|4256152|N06|2020-03-03|Servicio principal|2020-01-25 00:00:00
109821|054 0105901603UN02DR0UN|054 0105901603|1388127|N01|2020-05-03|Servicio sin cuota|2020-02-14 00:00:00
293505|066 0801901159UN03UN002|066 0801901159|1935787|N06|2020-06-03|Servicio sin cuota|2020-04-22 00:00:00
39309|026 4802003260UN080D0UN|026 4802003260|4163892|N06|2020-06-03|Servicio principal|2020-01-19 00:00:00
91139|014 2003201310UN03IZ0UN|014 2003201310|6107206|N01|2020-05-03|Servicio sin cuota|2020-02-05 00:00:00
21245|010 2006904580UN040C0UN|010 2006904580|601766|N06|2020-05-03|Servicio principal|2020-01-09 00:00:00
180577|006 2006907610UN020D0UN|006 2006907610|3575584|N01|2020-05-03|Servicio principal|2020-04-10 00:00:00
320425|073 3120101867UN010B0UN|073 3120101867|4164083|N06|2020-06-03|Servicio sin cuota|2020-01-17 00:00:00
202579|010 4801700134UNPB0A0UN|010 4801700134|3460151|N06|2020-04-03|Servicio principal|2020-03-15 00:00:00
295362|069 0812102860E101UN001|069 0812102860|6101439|N04|2020-05-03|Servicio principal|2020-01-23 00:00:00
12966|039 3123200665UNEN0B0UN|039 3123200665|6088839|N01|2020-02-03|Servicio principal|2020-01-05 00:00:00
242448|025 2006201110UN01UN0UN|025 2006201110|4144091|N06|2020-06-03|Servicio sin cuota|2020-05-31 00:00:00
244603|016 4802002990UN050C0UN|016 4802002990|782894|N06|2020-04-03|Servicio principal|2020-03-24 00:00:00
194531|004 4808001621UN03UN00B|004 4808001621|588224|N06|2020-05-03|Servicio principal|2020-03-12 00:00:00
281862|035 4807300016UN01IZ0UN|035 4807300016|2357879|N06|2020-06-03|Servicio principal|2020-03-27 00:00:00
78209|008 4891000062UN03DR0UN|008 4891000062|4166675|N06|2020-05-03|Servicio principal|2020-01-26 00:00:00
277448|014 3108600053UNPBUN0UN|014 3108600053|6137394|N06|2020-06-03|Servicio sin cuota|2020-05-17 00:00:00
313042|011 4801300940UN040D0UN|011 4801300940|6097958|N01|2020-06-03|Servicio principal|2020-01-15 00:00:00
147090|003 3121500197UN020B0UN|003 3121500197|6114928|N06|2020-04-03|Servicio sin cuota|2020-02-23 00:00:00
131224|027 3120100705UN020A0UN|027 3120100705|4220622|N06|2020-03-03|Servicio principal|2020-02-14 00:00:00
288335|180 0801903960UN08UN004|180 0801903960|6115744|N04|2020-04-03|Servicio principal|2020-02-29 00:00:00
63037|002 3121500015UN020A0UN|002 3121500015|6103519|N04|2020-04-03|Servicio principal|2020-01-24 00:00:00
191566|004 4809000059UN05IZ0UN|004 4809000059|6122597|N01|2020-06-03|Servicio principal|2020-03-12 00:00:00
119557|006 4802009620UN03IZ0UN|006 4802009620|6110985|N04|2020-03-03|Servicio principal|2020-02-14 00:00:00
314012|001 4801301930UN060C0UN|001 4801301930|6108249|N06|2020-06-03|Servicio principal|2020-02-12 00:00:00
4698|004 2001406004UNPBUN0UN|004 2001406004|6088315|N06|2020-02-03|Servicio sin cuota|2020-01-10 00:00:00
270919|013 2006904610UN02IZ0UN|013 2006904610|6112748|N04|2020-04-03|Servicio principal|2020-02-16 00:00:00
207226|002 2090101104UN04IZ0UN|002 2090101104|4202056|N06|2020-05-03|Servicio principal|2020-03-18 00:00:00
212309|018 2003301190UN02DR0UN|018 2003301190|6127579|N01|2020-05-03|Servicio principal|2020-05-02 00:00:00
290228|034 2000901250UN030D0UN|034 2000901250|6144432|N06|2020-06-03|Servicio principal|2020-05-24 00:00:00
57438|003 0105904750UN050A0UN|003 0105904750|2384733|N04|2020-03-03|Servicio principal|2020-01-22 00:00:00
260456|017 4804400264UN030B0UN|017 4804400264|891181|N06|2020-06-03|Servicio principal|2020-04-29 00:00:00
50524|015 4807100003UNPB0D0UN|015 4807100003|6102172|N06|2020-05-03|Servicio principal|2020-01-19 00:00:00
31608|003 4807800110UN030A0UN|003 4807800110|6100049|N01|2020-06-03|Servicio principal|2020-01-12 00:00:00
221085|040 2006902040UN01DR0UN|040 2006902040|1505401|N04|2020-05-03|Servicio principal|2020-03-27 00:00:00
99910|072 0105902310UN03DR0UN|072 0105902310|4251020|N06|2020-04-03|Servicio principal|2020-02-02 00:00:00
322479|020 4314804778EAPBUN001|020 4314804778|6113609|N01|2020-06-03|Servicio principal|2020-02-22 00:00:00
125773|005 4801500240UN05DR00B|005 4801500240|3466102|N06|2020-04-03|Servicio principal|2020-02-13 00:00:00
10436|009 4802003847UN050B0UN|009 4802003847|6097551|N01|2020-06-03|Servicio principal|2020-01-15 00:00:00
268130|001B4802009750UN070I0UN|001B4802009750|6100964|N01|2020-06-03|Servicio principal|2020-02-21 00:00:00
235877|018 2608900387E6050B0UN|018 2608900387|6117889|N06|2020-03-03|Servicio principal|2020-03-01 00:00:00
159206|016 4802004350UN06IZ0UN|016 4802004350|6116791|N06|2020-04-03|Servicio principal|2020-03-07 00:00:00
44125|003 2001906007UN020A0UN|003 2001906007|3449836|N06|2020-05-03|Servicio principal|2020-01-16 00:00:00
109175|031 4802000920UN03UN0UN|031 4802000920|1525994|N06|2020-06-03|Servicio principal|2020-02-06 00:00:00
